==1330== NVPROF is profiling process 1330, command: ../../bin/mcx -A -g 10 -n 1e6 -f qtest.inp -s qtest -r 1 -a 0 -b 0 -G 1 -D P
==1330== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1330== Profiling application: ../../bin/mcx -A -g 10 -n 1e6 -f qtest.inp -s qtest -r 1 -a 0 -b 0 -G 1 -D P
==1330== Profiling result:
==1330== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_read_transactions","L2 Read Transactions",319562672,319562672,319562672
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_write_transactions","L2 Write Transactions",121323883,121323883,121323883
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"ecc_transactions","ECC Transactions",0,0,0
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",38.476869%,38.476869%,38.476869%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",99.978425%,99.978425%,99.978425%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",31.286472%,31.286472%,31.286472%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",38.012091GB/s,38.012091GB/s,38.011931GB/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",6.627535MB/s,6.627535MB/s,5.722046MB/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",198271026,198271026,198271026
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",33759,33759,33759
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_read_throughput","L2 Throughput (Reads)",61.265862GB/s,61.265862GB/s,61.265193GB/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_write_throughput","L2 Throughput (Writes)",23.259951GB/s,23.259951GB/s,23.259781GB/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"sysmem_read_throughput","System Memory Read Throughput",24.324219KB/s,24.324219KB/s,0.000000B/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"sysmem_write_throughput","System Memory Write Throughput",25.329102KB/s,25.329102KB/s,0.000000B/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_utilization","L2 Cache Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",23.253478GB/s,23.253478GB/s,23.253262GB/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",242580238,242580238,242580238
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"sysmem_read_utilization","System Memory Read Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",5.086808,5.086808,5.086808
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",3.642482%,3.642482%,3.642482%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
